Timestamp_IST,Energy Consumption (kWh),Timestamp_UTC
2023-01-01 00:00:00+05:30,9.204998416274368,2022-12-31 18:00:00
2023-01-01 01:00:00+05:30,11.795378558886629,2022-12-31 19:00:00
2023-01-01 02:00:00+05:30,10.823975769665743,2022-12-31 20:00:00
2023-01-01 03:00:00+05:30,7.236167569076349,2022-12-31 21:00:00
2023-01-01 04:00:00+05:30,7.042190803180366,2022-12-31 22:00:00
2023-01-01 05:00:00+05:30,11.468016637862927,2022-12-31 23:00:00
2023-01-01 06:00:00+05:30,22.47533246608872,2023-01-01 00:00:00
2023-01-01 07:00:00+05:30,19.317603054474546,2023-01-01 01:00:00
2023-01-01 08:00:00+05:30,28.099729410907674,2023-01-01 02:00:00
2023-01-01 09:00:00+05:30,22.470820253525105,2023-01-01 03:00:00
2023-01-01 10:00:00+05:30,18.037028150948437,2023-01-01 04:00:00
2023-01-01 11:00:00+05:30,25.922319131929594,2023-01-01 05:00:00
2023-01-01 12:00:00+05:30,29.311631746252893,2023-01-01 06:00:00
2023-01-01 13:00:00+05:30,23.72358258670198,2023-01-01 07:00:00
2023-01-01 14:00:00+05:30,17.099892149065777,2023-01-01 08:00:00
2023-01-01 15:00:00+05:30,14.721954255641242,2023-01-01 09:00:00
2023-01-01 16:00:00+05:30,25.271860839130245,2023-01-01 10:00:00
2023-01-01 17:00:00+05:30,25.88335197755348,2023-01-01 11:00:00
2023-01-01 18:00:00+05:30,23.13483031010393,2023-01-01 12:00:00
2023-01-01 19:00:00+05:30,29.507382559981593,2023-01-01 13:00:00
2023-01-01 20:00:00+05:30,23.644343315160334,2023-01-01 14:00:00
2023-01-01 21:00:00+05:30,17.922293166966988,2023-01-01 15:00:00
2023-01-01 22:00:00+05:30,9.039941857788278,2023-01-01 16:00:00
2023-01-01 23:00:00+05:30,11.923766495001061,2023-01-01 17:00:00
2023-01-02 00:00:00+05:30,9.178713878116247,2023-01-01 18:00:00
2023-01-02 01:00:00+05:30,6.966284945911064,2023-01-01 19:00:00
2023-01-02 02:00:00+05:30,12.463773234593848,2023-01-01 20:00:00
2023-01-02 03:00:00+05:30,10.574880816747037,2023-01-01 21:00:00
2023-01-02 04:00:00+05:30,10.059311247205633,2023-01-01 22:00:00
2023-01-02 05:00:00+05:30,12.152821979637961,2023-01-01 23:00:00
2023-01-02 06:00:00+05:30,17.526432909533256,2023-01-02 00:00:00
2023-01-02 07:00:00+05:30,20.754393658661325,2023-01-02 01:00:00
2023-01-02 08:00:00+05:30,25.940221849789847,2023-01-02 02:00:00
2023-01-02 09:00:00+05:30,24.45859352840792,2023-01-02 03:00:00
2023-01-02 10:00:00+05:30,24.170354951221313,2023-01-02 04:00:00
2023-01-02 11:00:00+05:30,13.730827860143194,2023-01-02 05:00:00
2023-01-02 12:00:00+05:30,24.227212055964856,2023-01-02 06:00:00
2023-01-02 13:00:00+05:30,26.368401783055447,2023-01-02 07:00:00
2023-01-02 14:00:00+05:30,26.844166629452932,2023-01-02 08:00:00
2023-01-02 15:00:00+05:30,23.294132817312267,2023-01-02 09:00:00
2023-01-02 16:00:00+05:30,19.32653878466365,2023-01-02 10:00:00
2023-01-02 17:00:00+05:30,25.61146893314205,2023-01-02 11:00:00
2023-01-02 18:00:00+05:30,22.68696590953668,2023-01-02 12:00:00
2023-01-02 19:00:00+05:30,22.421285570709866,2023-01-02 13:00:00
2023-01-02 20:00:00+05:30,20.9372250729295,2023-01-02 14:00:00
2023-01-02 21:00:00+05:30,24.522634948273485,2023-01-02 15:00:00
2023-01-02 22:00:00+05:30,7.9369663463093545,2023-01-02 16:00:00
2023-01-02 23:00:00+05:30,9.661846516813966,2023-01-02 17:00:00
2023-01-03 00:00:00+05:30,8.887967134650303,2023-01-02 18:00:00
2023-01-03 01:00:00+05:30,7.192772551235711,2023-01-02 19:00:00
2023-01-03 02:00:00+05:30,7.29327587972953,2023-01-02 20:00:00
2023-01-03 03:00:00+05:30,7.207306098514091,2023-01-02 21:00:00
2023-01-03 04:00:00+05:30,10.101828908818039,2023-01-02 22:00:00
2023-01-03 05:00:00+05:30,10.35126683678401,2023-01-02 23:00:00
2023-01-03 06:00:00+05:30,31.629993166815538,2023-01-03 00:00:00
